,Unnamed: 0,article_title,video_title,score,real
72,72,"What is group travel insurance, and should you get it instead of a regular travel insurance policy?",This wearable chair will allow you to sit anywhere - here's how,0.9817499,bad
73,73,Current Capital One CD Rates (Up to 5.25%),What street markets look like around the world,0.9832397,bad
74,74,"I've driven over 30 electric cars. See inside the 4 most luxurious rides from Rolls-Royce, BMW, Mercedes, and Lucid.",How Tesla's Model Y compares to Ford's first EV,0.99997056,good
75,75,Matthew McConaughey and wife Camila Alves posted an Instagram video welcoming their son Levi to social media: 'Go check him out',Take a look inside the shop that creates extreme heels for Lady Gaga and Britney Spears,0.6639968,bad
76,76,US Bank Altitude Go Secured Credit Card Review,A robotics lab created an exoskeleton that assists people with neurological disorders.,0.9658942,bad
77,77,"This French luxury tour company has planned multi-day around-the-world 'air cruises' using an Airbus A340 with lie-flat seats. Tickets start at $75,000.",The best car tech from CES 2020,0.9998572,bad
78,78,WHERE ARE THEY NOW? Michigan's legendary Fab 5 team,Psychologists debunk 25 mental-health myths,0.31415585,bad
79,79,"Inside the life of Bill Gates' daughter Jennifer, an elite equestrian who stands to inherit 'a minuscule portion' of her father's $106 billion fortune",Jay-Z is hip-hop's first billionaire. See how he and Beyoncé make and spend their money.,0.9961557,good
80,80,"The heatwave in California has gotten so bad that an Amazon delivery driver jumped into a customer's pool, fully clothed",Thousands of bags pile up at US airports after flight cancellations,0.8342091,bad
81,81,"RANKED: The iPhones that give you the most bang for your buck, from the iPhone 6S to the iPhone X",What street markets look like around the world,0.978332,bad
82,82,"Meet the couple selling 2,200 pounds of spit-roasted pig every week from an artisanal cookhouse in the Philippines",Inside Emirates’ newest and most luxurious first-class suite,0.9974999,good
83,83,Roaches were found in a McDonald's frappé machine. It's not the first time the chain has had this problem.,"Every difference between UK and US Subway including portion sizes, calories, and exclusive items",0.9993773,bad
84,84,"Ocean explorers found a golden orb on the Alaskan seafloor, and they have no idea what it is",What street markets look like around the world,0.9115262,bad
85,85,Ads on buses at the NATO summit are shaming delegates for not giving F-16s to Ukraine,Here's what might happen if North Korea launched a nuclear weapon,0.99598,bad
86,86,"The bull market in stocks is on track to push the S&P 500 to 5,000 by 2024, Bank of America says",Stock trading is a 'monotheistic religion' — a JPMorgan chief strategist reveals the one thing that will keep the market soaring,0.9993672,good
87,87,Walmart vs Target: When it comes to groceries it's not really a competition,What street markets look like around the world,0.99937904,good
88,88,"A family of 3 found dead at a remote Colorado campsite tried to escape civilization but had no survival experience and were relying on YouTube videos, relative says","The cause of all war boils down to sex and social status, according to a conflict expert who used to be in the British army",0.97120404,bad
89,89,Chase has announced the Freedom credit card's Q2 bonus categories — including 5% cash back at grocery stores,What street markets look like around the world,0.97823375,bad
90,90,"Kate Middleton helped formulate Buckingham Palace's response to Prince Harry and Meghan's Oprah interview, a royal book claims","Why Prince Harry and Meghan Markle left the royal family, told as a motion comic",0.9951054,good
91,91,"Who is Octopusslover8, aka Jake Shane? The breakout influencer known for his surreal sketches and famous connections has taken everyone's TikTok FYP by storm",Take a look inside the shop that creates extreme heels for Lady Gaga and Britney Spears,0.9946985,bad
92,92,"Trezy, a fintech that uses AI to help small businesses manage cash flow, just raised $3.3 million with this 23-slide pitch deck",How Publishers Clearing House makes $1 billion a year,0.9991518,bad
93,93,I booked a weekend trip on a Friday in 45 minutes. Here are 4 ways I score last-minute travel deals.,"Why cold winter weather cancels roughly 60,000 flights a year in the US",0.98516834,good
94,94,Investors are betting that rate cuts are coming early next year. Here's what market experts are urging you do right now to cash in when rates do fall.,"Put simply, blockchain technology is 'a security and transparency innovation'",0.9986331,bad
95,95,Where to watch a free Alcaraz vs. Medvedev live stream at US Open,A robotics lab created an exoskeleton that assists people with neurological disorders.,0.9550648,bad
96,96,"The Ukraine War has accelerated research into lithium-ion battery alternatives, including ones made of sand","The cause of all war boils down to sex and social status, according to a conflict expert who used to be in the British army",0.9996799,bad
97,97,"Hunter Biden sues IRS, claims whistleblower agents 'targeted and sought to embarrass' him by discussing his tax returns",House committee targets Mark Meadows as texts reveal his role and Trump's inaction on January 6,0.9630858,bad
98,98,"A man lost 125 pounds by doing the opposite of everything he tried before, including eating carbs",We ate everything on Taco Bell's Dollar Cravings Menu — here's what we thought,0.9957776,bad
99,99,I tried 5 popular brands of Buffalo sauce and found one worthy of any Super Bowl party,"Every difference between UK and US Subway including portion sizes, calories, and exclusive items",0.9602781,good
