,Unnamed: 0,TITLE,video_title,score,real
55,55,"Citi Executive card review: 50,000 bonus miles and cheap American Airlines Admirals Club membership",11 places to go only if you aren't afraid of heights,0.99998295,bad
56,56,The 11 best rye whiskeys we recommend after testing over 75 ryes and talking with experts,How Tesla's Model Y compares to Ford's first EV,0.9998098,bad
57,57,"8 places where you can find major discounts on designer shoes, handbags, and clothing",How Tesla's Model Y compares to Ford's first EV,0.9999101,bad
58,58,"I've spent 117 hours traveling 4,700 miles by train. Here are my essential packing items for a smooth ride.",14 reasons to visit the Hawaiian islands,0.9997899,bad
59,59,A psychiatrist charges $700 hourly to Wall Street elites who are 'terrified of being exposed' for drug and sex addictions,Meet the 24-year-old who's the youngest female broker in the New York Stock Exchange,0.9991258,bad
60,60,TikTokers are using this Google Flights 'hack' to score cheap flights. Here's how it works.,CEO of blockchain company Chain on what everyone gets wrong about the technology,0.99927527,bad
61,61,The Supreme Court just allowed businesses to refuse to serve LGBTQ+ customers. A detail used to justify the case may be fake.,Meet the 24-year-old who's the youngest female broker in the New York Stock Exchange,0.9934929,bad
62,62,How 19 traditional Italian foods are made,15 amazing things you can only do in Japan,0.9998709,bad
63,63,3 Best Banks to Open a Savings Account for a Child in August 2023,CEO of blockchain company Chain on what everyone gets wrong about the technology,0.9959312,bad
64,64,"Arianna Davis, Lizzo's former dancer, shares why she and others felt unsafe working for the star they once admired",Meet the 24-year-old who's the youngest female broker in the New York Stock Exchange,0.99815494,bad
65,65,15 of the best things to get at Aldi this month under $5,How Tesla's Model Y compares to Ford's first EV,0.9999815,bad
66,66,The most interesting part of China's stimulus announcement was the omission of a key phrase that ignited the 2020 crackdown on the real-estate sector,CEO of blockchain company Chain on what everyone gets wrong about the technology,0.8455561,bad
67,67,How lotteries work and 3 key steps to take if you win one,11 places to go only if you aren't afraid of heights,0.98186815,bad
68,68,9 ways Cinco de Mayo is celebrated differently in the US and Mexico,15 amazing things you can only do in Japan,0.99848574,bad
69,69,Meet the 51 women competing to be Miss USA 2023,11 places to go only if you aren't afraid of heights,0.9905585,bad
70,70,American Airlines flight attendant says a woman angry with the company tried to run her off a freeway at 80mph,CEO of blockchain company Chain on what everyone gets wrong about the technology,0.9892146,bad
71,71,I'm an interior decorator. Here are 10 things I'd never have in my kitchen.,15 amazing things you can only do in Japan,0.99979657,bad
72,72,Personify Financial Personal Loans Review 2023,11 places to go only if you aren't afraid of heights,0.99156535,bad
73,73,Sallie Mae CD Rates (Earn up to 5.40%),Meet the 24-year-old who's the youngest female broker in the New York Stock Exchange,0.9881505,bad
74,74,"I bought the TikTok-viral Dr. Scholl's sneakers for a trip to Europe, and they were the best thing I packed",15 amazing things you can only do in Japan,0.9997464,bad
75,75,China made the deepest cut since 2020 to a key interest rate before posting a disappointing July report card,CEO of blockchain company Chain on what everyone gets wrong about the technology,0.99141496,bad
76,76,I've moved my daughters into college 12 times. Here's my best advice for parents doing their first college move in. ,14 reasons to visit the Hawaiian islands,0.99997795,bad
77,77,Emily Ratajkowski said she was naked in the audience of a recent fashion show aside from an oversized trench coat,This celebrity stylist turned LeBron James into a fashion icon,0.99660975,good
78,78,Buying a house is getting harder. Blame homeowners who refuse to move.,CEO of blockchain company Chain on what everyone gets wrong about the technology,0.99677086,bad
79,79,I made the Coca-Cola cake Faith Hill bakes Tim McGraw every year on his birthday – and it's as 'crazy good' as Ina Garten says,11 places to go only if you aren't afraid of heights,0.9928294,bad
80,80,"The life and career of Bernard Arnault, the world's richest man and luxury-goods mogul who owns brands like Louis Vuitton and Dior",Meet the 24-year-old who's the youngest female broker in the New York Stock Exchange,0.9992995,bad
81,81,"Meet Ivy Getty, the 28-year-old heiress to the Getty oil fortune and a member of one of the richest families in America",Meet the 24-year-old who's the youngest female broker in the New York Stock Exchange,0.9452091,good
82,82,Tesla owners share some of the unexpected headaches of owning the EV,Meet the 24-year-old who's the youngest female broker in the New York Stock Exchange,0.9936992,bad
83,83,"Elon Musk really was telling the truth by saying his father Errol never owned an emerald mine, biographer says",11 places to go only if you aren't afraid of heights,0.9983303,bad
84,84,"Mortgage Interest Rates Today, September 1, 2023 | 30-Year Rates Fall",CEO of blockchain company Chain on what everyone gets wrong about the technology,0.99080175,bad
85,85,"The best Macy's Black Friday deals are now live — save on cookware, Levi's apparel, and The North Face jackets.",How Tesla's Model Y compares to Ford's first EV,0.9999845,bad
86,86,"'Bougie broke' is the latest financial trend sweeping the internet, and it's all about living large with a small budget",CEO of blockchain company Chain on what everyone gets wrong about the technology,0.9971614,bad
87,87,"Ron DeSantis is trailing Trump in the polls because he hasn’t ‘hit him hard enough’ and isn’t a ‘memorable personality,’ political experts say",Biden denounces Trump and MAGA Republicans as extremists,0.9999902,good
88,88,"Meet the typical Japanese millennial: Victims of the country's 'Lost Decade,' they are trapped in dead-end jobs and are adamant about never having kids",CEO of blockchain company Chain on what everyone gets wrong about the technology,0.9966306,bad
89,89,"If you're having a bad day, cheer up — at least you aren't this leopard getting beat up by a horde of baboons",11 places to go only if you aren't afraid of heights,0.95589876,bad
90,90,The 5 best soft coolers we tested that actually keep drinks cold,15 amazing things you can only do in Japan,0.999979,bad
91,91,"I've helped thousands of people prepare for retirement, and those who retire the richest have 9 things in common",Meet the 24-year-old who's the youngest female broker in the New York Stock Exchange,0.99930084,bad
92,92,The awkward debate moment where GOP candidates reluctantly backed Trump shows why they don't stand a chance to unseat him,"Joe Biden is running for reelection, and Trump slammed the announcement",0.9998361,good
93,93,Jason Momoa said 'Maui is not the place' to vacation amid deadly wildfires and urged tourists to stay away,Meet the 24-year-old who's the youngest female broker in the New York Stock Exchange,0.9966311,bad
94,94,"Wagner boss Yevgeny Prigozhin breaks his silence, expresses 'regret' for destroying Russian military aircraft",VIDEO: Biden focuses his first State of the Union address on Russia's invasion of Ukraine,0.9410707,bad
95,95,Flying to space may be more regulated than a dive in an OceanGate submersible— but both require tourists to acknowledge they might die,11 places to go only if you aren't afraid of heights,0.9999237,good
96,96,These secret US Navy underwater microphones built to detect Soviet submarines may be what caught the sounds of the Titan submersible imploding,11 places to go only if you aren't afraid of heights,0.9980349,bad
97,97,"TikTok's funniest videos, ranked. Must-watch clips from Angry Ikea Guy, Tamara Mallory, and more.",11 places to go only if you aren't afraid of heights,0.99241734,bad
98,98,"Charles McGonigal, the disgraced former FBI official, pleaded guilty to hiding $225,000 in secret payments while working sensitive cases",Why Sam Bankman-Fried is charged with perpetuating one of the biggest frauds in US history,0.9942967,bad
99,99,US home prices could tumble nearly 20% and Fed economists warn further rate hikes risk an even worse housing correction: 'The bubble hypothesis merits attention',CEO of blockchain company Chain on what everyone gets wrong about the technology,0.8889707,bad
